case_index,n_sources,relative_change
0,18,0.0
1,23,1.9370022779004562e-16
2,11,0.0
3,25,0.0
4,15,0.0
5,27,1.4632778158035851e-16
6,11,0.0
7,19,0.0
8,28,2.025133277456732e-16
9,17,2.0318651582155114e-16
10,11,2.0230434125185807e-16
11,8,0.0
12,14,1.9911652884987694e-16
13,24,0.0
14,29,1.389142613369047e-16
15,30,3.742883764431482e-16
16,29,0.0
17,29,1.399555214844813e-16
18,5,0.0
19,25,1.272043170116414e-16
20,17,3.038508050353015e-16
21,28,0.0
22,7,2.5152042232772956e-16
23,9,0.0
24,29,1.4417003826637167e-16
25,20,0.0
26,9,1.6017989550511497e-16
27,21,1.910048217807455e-16
28,12,0.0
29,14,0.0
30,10,2.5717725172393153e-16
31,26,4.224179153166384e-16
32,25,0.0
33,16,1.9755928742078565e-16
34,29,2.114626543604007e-16
35,13,3.8550416714112784e-16
36,11,0.0
37,24,3.237380397265153e-16
38,31,2.1990093853415233e-16
39,29,1.3766095511439437e-16
40,23,3.386201691969201e-16
41,25,3.562867741736657e-16
42,6,0.0
43,15,0.0
44,30,0.0
45,23,1.699243679378752e-16
46,22,2.558067158976166e-16
47,26,1.479080184247338e-16
48,17,2.1402809571786428e-16
49,30,0.0
50,20,0.0
51,18,0.0
52,23,0.0
53,6,0.0
54,7,0.0
55,14,2.206028033133505e-16
56,19,5.243490981258823e-16
57,29,2.1763713283285963e-16
58,11,2.442760754306107e-16
59,27,1.8193477931595764e-16
60,29,1.9928992751763587e-16
61,8,0.0
62,8,0.0
63,28,2.378435968140218e-16
64,5,1.980827249115931e-16
65,30,1.975796163194479e-16
66,4,0.0
67,25,0.0
68,23,1.4960742697044465e-16
69,27,2.0037842585550257e-16
70,5,0.0
71,27,4.701490452116217e-16
72,12,0.0
73,24,1.5591236629146918e-16
74,9,3.57016223890698e-16
75,11,1.3880480072147646e-16
76,21,1.8169475636353053e-16
77,14,1.1625718030232185e-16
78,11,1.525466447910028e-16
79,20,0.0
80,7,1.245491673618252e-16
81,13,0.0
82,30,3.8633216835109026e-16
83,28,0.0
84,27,0.0
85,31,0.0
86,25,0.0
87,18,2.1058956939088264e-16
88,6,1.540306661887799e-16
89,23,0.0
90,23,1.9734474194525995e-16
91,26,0.0
92,31,0.0
93,24,0.0
94,21,0.0
95,9,0.0
96,31,0.0
97,26,0.0
98,29,2.259810077077533e-16
99,4,0.0
100,23,2.3024537364583e-16
101,14,0.0
102,27,0.0
103,14,1.2704484048017227e-16
104,12,0.0
105,13,0.0
106,27,0.0
107,30,1.3877981112211262e-16
108,24,0.0
109,19,1.5146099657260057e-16
110,25,0.0
111,4,4.145888840681211e-16
112,7,0.0
113,25,2.516815748128689e-16
114,10,1.764810913456579e-16
115,15,2.908143728369419e-16
116,7,2.4120433347782234e-16
117,23,4.596736112560984e-16
118,30,1.9042694569079532e-16
119,10,1.4873313659027336e-16
120,20,0.0
121,28,0.0
122,30,0.0
123,15,2.1987792990326242e-16
124,16,1.9574009676278122e-16
125,22,1.9840463466896508e-16
126,7,0.0
127,30,1.2269127559183017e-16
128,13,0.0
129,23,4.1456047116959495e-16
130,28,1.6923742810669309e-16
131,20,3.3510301492278734e-16
132,22,0.0
133,5,4.2718009543906544e-16
134,14,1.2238604814265293e-16
135,17,1.4470838157360996e-16
136,14,0.0
137,6,1.853988311296728e-16
138,14,3.3626553848035704e-16
139,29,0.0
140,31,1.169150509723289e-16
141,16,0.0
142,5,2.717897787254637e-16
143,26,2.1695801255609163e-16
144,11,1.2372768732330597e-16
145,12,0.0
146,27,0.0
147,20,1.1697618371695908e-16
148,5,1.260555109572563e-16
149,21,0.0
150,29,0.0
151,11,0.0
152,19,0.0
153,13,4.3712101170198437e-16
154,30,0.0
155,31,3.3263063428173024e-16
156,5,0.0
157,23,2.1712777918331745e-16
158,8,2.109735505800112e-16
159,17,0.0
160,23,0.0
161,27,0.0
162,7,1.8529047857794676e-16
163,16,0.0
164,4,1.787247281350285e-16
165,18,3.257150838424108e-16
166,29,0.0
167,29,2.4386338302535894e-16
168,16,0.0
169,19,1.9505660553515318e-16
170,25,1.6495771939749507e-16
171,12,0.0
172,15,0.0
173,5,2.87671597796424e-16
174,8,2.082564459390388e-16
175,28,0.0
176,29,0.0
177,21,1.8791390753509363e-16
178,24,3.085089536901469e-16
179,28,0.0
180,28,0.0
181,10,5.79031855527687e-16
182,26,0.0
183,5,0.0
184,30,0.0
185,8,2.569321949798622e-16
186,23,1.6817672842245418e-16
187,19,1.984280895630727e-16
188,23,0.0
189,16,1.726233497266524e-16
190,12,1.169396026777922e-16
191,20,1.171442322480844e-16
192,11,0.0
193,11,2.803922504729875e-16
194,29,2.094132725798383e-16
195,14,0.0
196,9,0.0
197,25,1.893301936886424e-16
198,5,2.1984554930199536e-16
199,13,2.6345723387048006e-16
